Code,Company,Sector,Market Cap,Weight(%)
ABP,Abacus Property Group Units/ Stapled Securities,Real Estate,"1,977,100,000",0.11
ABC,Adelaide Brighton,Materials,"4,020,770,000",0.22
APT,Afterpay Touch,Information Technology,"4,127,980,000",0.23
AGL,AGL Energy Limited,Utilities,"12,788,600,000",0.7
ALQ,Als Limited,Industrials,"4,384,590,000",0.24
ALU,Altium Limited,Information Technology,"3,564,660,000",0.2
AWC,Alumina Limited,Materials,"7,977,170,000",0.44
AMC,Amcor Limited,Materials,"15,843,400,000",0.87
AMP,AMP Limited,Financials,"9,309,920,000",0.51
ANN,Ansell Limited,Health Care,"3,594,440,000",0.2
ANZ,ANZ Banking Group Limited,Financials,"80,978,600,000",4.46
APA,APA Group Units FP Stapled Securities,Utilities,"11,775,300,000",0.65
APO,Apn Outdoor Group,Consumer Discretionary,"1,112,260,000",0.06
APX,Appen Limited,Information Technology,"1,487,100,000",0.08
ARB,ARB Corporation,Consumer Discretionary,"1,520,230,000",0.08
AAD,Ardent Leisure Group Ordinary/Units FP Stapled Securities,Consumer Discretionary,"856,275,000",0.05
ALL,Aristocrat Leisure,Consumer Discretionary,"18,160,200,000",1
ASX,ASX Limited,Financials,"12,324,300,000",0.68
ALX,Atlas Arteria Ordinary Stapled Securities,Industrials,"4,769,190,000",0.26
AZJ,Aurizon Holdings Limited,Industrials,"8,179,430,000",0.45
ASL,Ausdrill Limited,Materials,"942,076,000",0.05
AST,Ausnet Services Limited,Utilities,"5,873,310,000",0.32
API,Australian Pharm,Health Care,"849,439,000",0.05
AHG,Automotive Holdings,Consumer Discretionary,"732,887,000",0.04
AOG,Aveo Group Ordinary/Units FP Stapled Securities,Real Estate,"1,173,290,000",0.06
BOQ,Bank of Queensland,Financials,"4,378,380,000",0.24
BAP,Bapcor Limited,Consumer Discretionary,"2,146,670,000",0.12
BPT,Beach Energy Limited,Energy,"4,872,850,000",0.27
BGA,Bega Cheese Limited,Consumer Staples,"1,449,260,000",0.08
BAL,Bellamy's Australia,Consumer Staples,"1,159,760,000",0.06
BEN,Bendigo and Adelaide,Financials,"5,211,550,000",0.29
BHP,BHP Billiton Limited,Materials,"111,221,000,000",6.13
BIN,Bingo Industries Limited,Industrials,"1,828,040,000",0.1
BKL,Blackmores Limited,Consumer Staples,"2,283,410,000",0.13
BSL,Bluescope Steel Limited,Materials,"9,303,600,000",0.51
BLD,Boral Limited,Materials,"8,100,810,000",0.45
BXB,Brambles Limited,Industrials,"17,364,800,000",0.96
BRG,Breville Group Limited,Consumer Discretionary,"1,701,650,000",0.09
BKW,Brickworks Limited,Materials,"2,617,630,000",0.14
BWP,BWP Trust Ordinary Units FP,Real Estate,"2,145,560,000",0.12
CTX,Caltex Australia,Energy,"7,798,230,000",0.43
CAR,Carsales.com Limited,Information Technology,"3,516,790,000",0.19
CGF,Challenger Limited,Financials,"6,841,580,000",0.38
CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,"3,334,960,000",0.18
CQR,Charter Hall Retail Units FP,Real Estate,"1,707,590,000",0.09
CNU,Chorus Limited Foreign Exempt NZX,Telecommunication Services,"1,903,310,000",0.1
CLW,CHTR H LWR Stapled Securities,Real Estate,"975,661,000",0.05
